id;text;fill;parent_id
1;S;#5CADFB;NULL
2;G16;#1EDA3B;1
3;G20;#1EDA3B;1
4;G15;#1EDA3B;1
5;G17;#1EDA3B;2
6;G10;#1EDA3B;5
7;G19;#1EDA3B;6
8;G21;#1EDA3B;7
9;G22;#1EDA3B;8
10;G23;#1EDA3B;9
11;G24;#1EDA3B;10
12;G25;#1EDA3B;11
13;G26;#1EDA3B;12
14;G27;#1EDA3B;13
15;T04;#1EDA3B;14
16;G33;#1EDA3B;3
17;G48;#1EDA3B;16
18;G49;#1EDA3B;17
19;G50;#1EDA3B;18
20;G51;#1EDA3B;19
21;G52;#1EDA3B;20
22;G53;#1EDA3B;21
23;G54;#1EDA3B;22
24;T09;#1EDA3B;23
25;G55;#E40C0C;16
26;G56;#1EDA3B;25
27;G57;#1EDA3B;26
28;G58;#1EDA3B;27
29;T10;#1EDA3B;28
30;G41;#E40C0C;3
31;G43;#1EDA3B;30
32;G44;#1EDA3B;31
33;G45;#1EDA3B;32
34;G46;#1EDA3B;33
35;G47;#1EDA3B;34
36;T08;#1EDA3B;35
37;G29;#E40C0C;31
38;G30;#1EDA3B;37
39;G38;#1EDA3B;38
40;G39;#1EDA3B;39
41;G40;#1EDA3B;40
42;G42;#1EDA3B;41
43;T07;#1EDA3B;42
44;G09;#E40C0C;39
45;G28;#1EDA3B;44
46;G31;#1EDA3B;45
47;G32;#1EDA3B;46
48;T05;#1EDA3B;47
49;G12;#1EDA3B;4
50;G13;#1EDA3B;49
51;G14;#1EDA3B;50
52;T03;#1EDA3B;51
53;G06;#E40C0C;49
54;G33;#1EDA3B;53
55;G34;#1EDA3B;54
56;G35;#1EDA3B;55
57;G36;#1EDA3B;56
58;G37;#1EDA3B;57
59;T06;#1EDA3B;58
60;G07;#E40C0C;54
61;G01;#1EDA3B;60
62;G02;#1EDA3B;61
63;G03;#1EDA3B;62
64;G04;#1EDA3B;63
65;G05;#1EDA3B;64
66;T01;#1EDA3B;65
67;G08;#E40C0C;61
68;G09;#1EDA3B;67
69;G10;#1EDA3B;68
70;G11;#1EDA3B;69
71;T02;#1EDA3B;70
